,sum,count,percent_coverage,sum_cc,count_cc,percent_cc
2022-08-02,232081.24705882324,232775,99.70196415372065,2622.101960784313,232775,1.1264534253181455
2022-08-05,232747.49019607814,232775,99.98818180478064,75.23921568627452,232775,0.032322721807013004
2022-08-07,232747.49019607814,232775,99.98818180478064,0.0,232775,0.0
2022-08-10,230932.14509803892,232775,99.20831064248262,44009.42745098041,232775,18.906423563948195
2022-08-12,232747.49019607814,232775,99.98818180478064,1021.4235294117648,232775,0.4388029339111867
2022-08-15,232747.49019607814,232775,99.98818180478064,0.0,232775,0.0
2022-08-17,232747.49019607814,232775,99.98818180478064,0.0,232775,0.0
2022-08-20,232181.05098039185,232775,99.74483985840054,151521.964705882,232775,65.09374490640404
2022-08-22,232747.49019607814,232775,99.98818180478064,232747.49019607814,232775,99.98818180478064
2022-08-25,232747.49019607814,232775,99.98818180478064,0.0,232775,0.0
2022-08-27,232747.49019607814,232775,99.98818180478064,60557.952941176525,232775,26.015660161605208
